iter	RMSE
0	2.143418512
1	2.133443912
2	2.121848538
3	2.112166227
4	2.102714091
5	2.094104997
6	2.086140577
7	2.077771647
8	2.068581276
9	2.062240351
10	2.051309992
11	2.043062197
12	2.034709692
13	2.026164465
14	2.018805741
15	2.010837118
16	2.002623701
17	1.993803786
18	1.984906759
19	1.978911394
20	1.970771658
21	1.962278587
22	1.95530252
23	1.948998861
24	1.941096192
25	1.933920375
26	1.927475863
27	1.919827289
28	1.911557483
29	1.904673792
30	1.898019331
31	1.892033425
32	1.885684256
33	1.881302758
34	1.877285898
35	1.873173039
36	1.868284661
37	1.862262024
38	1.855753963
39	1.849611134
40	1.84576141
41	1.842740544
42	1.837839349
43	1.832625902
44	1.826653178
45	1.821957431
46	1.816175526
47	1.809973562
48	1.806290274
49	1.80016478
50	1.798510462
51	1.79314156
52	1.788188359
53	1.784424186
54	1.779430581
55	1.774677235
56	1.772949425
57	1.771450006
58	1.767558015
59	1.762304158
60	1.760242797
61	1.755128453
62	1.75042375
63	1.74863357
64	1.746277296
65	1.742528527
66	1.740598238
67	1.736993196
68	1.732557215
69	1.729213935
70	1.72578347
71	1.722376529
72	1.719635373
73	1.714422487
74	1.713537987
75	1.710368995
76	1.706642734
77	1.705004093
78	1.699253806
79	1.696170228
80	1.69472302
81	1.69323041
82	1.689214291
83	1.684919239
84	1.681352828
85	1.678842154
86	1.675449165
87	1.675049492
88	1.672017969
89	1.668843189
90	1.666017729
91	1.6608319
92	1.658012646
93	1.655110812
94	1.65150064
95	1.647256195
96	1.645767929
97	1.644150183
98	1.643510352
99	1.640018603
100	1.639891479
101	1.638448666
102	1.633926926
103	1.631972599
104	1.630469168
105	1.626731895
106	1.622513565
107	1.618356416
108	1.616499332
109	1.614672461
110	1.611318302
111	1.608390862
112	1.605976262
113	1.603092703
114	1.59998778
115	1.596818537
116	1.593864722
117	1.590213612
118	1.586303838
119	1.584463837
120	1.580789531
121	1.580789268
122	1.579948212
123	1.579498816
124	1.575731864
125	1.573528989
126	1.572222109
127	1.572124226
128	1.569679371
129	1.56784849
130	1.566287901
131	1.56487241
132	1.560961615
133	1.558154494
134	1.557205964
135	1.555217652
136	1.553474251
137	1.550686637
138	1.549577617
139	1.546956083
140	1.543631059
141	1.543470265
142	1.541431271
143	1.539979653
144	1.53557051
145	1.535301329
