iter	Passed	Remaining
0	81	486244
1	122	366191
2	180	360669
3	224	335951
4	266	319062
5	292	292002
6	338	289430
7	363	272529
8	389	259296
9	395	237077
10	431	235045
11	456	228031
12	483	222891
13	522	223323
14	524	209362
15	537	200841
16	564	198728
17	596	198152
18	605	190460
19	615	184164
20	646	184038
21	684	186132
22	702	182676
23	720	179460
24	759	181431
25	797	183179
26	812	179646
27	842	179685
28	872	179551
29	898	178774
30	932	179536
31	960	179120
32	992	179499
33	1004	176207
34	1013	172681
35	1020	168997
36	1046	168728
37	1083	169929
38	1118	170963
39	1141	170086
40	1158	168364
41	1174	166557
42	1207	167320
43	1240	167968
44	1248	165212
45	1272	164765
46	1294	163925
47	1332	165184
48	1365	165806
49	1406	167366
50	1412	164821
51	1445	165398
52	1474	165465
53	1478	162842
54	1510	163272
55	1547	164298
56	1551	161787
57	1552	159092
58	1584	159549
59	1625	160895
60	1628	158539
61	1659	158955
62	1694	159685
63	1695	157271
64	1703	155510
65	1733	155877
66	1744	154438
67	1774	154759
68	1805	155188
69	1829	154970
70	1859	155252
71	1867	153742
72	1879	152582
73	1910	152980
74	1912	151110
75	1937	150992
76	1962	150944
77	1967	149357
78	1991	149245
79	2018	149335
80	2023	147872
81	2027	146296
82	2057	146648
83	2092	147348
84	2119	147465
85	2124	146088
86	2152	146314
87	2154	144733
88	2182	144952
89	2190	143859
90	2217	144014
91	2244	144145
92	2251	142983
93	2266	142423
94	2294	142617
95	2307	141908
96	2311	140665
97	2313	139327
98	2315	138016
99	2351	138712
100	2357	137698
101	2372	137193
102	2401	137516
103	2413	136804
104	2416	135697
105	2442	135825
106	2472	136181
107	2489	135813
108	2516	136033
109	2518	134849
110	2534	134446
111	2560	134596
112	2586	134771
113	2613	134921
114	2658	136046
115	2691	136509
116	2712	136381
117	2744	136790
118	2773	137076
119	2778	136144
120	2804	136245
121	2804	135142
122	2811	134356
123	2814	133372
124	2848	133861
125	2858	133278
126	2868	132628
127	2869	131651
128	2904	132210
129	2915	131625
130	2925	131050
131	2928	130167
132	2952	130254
133	2978	130386
134	2982	129553
135	3007	129677
136	3035	129917
137	3062	130089
138	3072	129538
139	3101	129836
140	3125	129855
141	3126	128978
142	3154	129191
143	3162	128599
144	3185	128633
145	3190	127931
146	3194	127179
147	3220	127329
148	3228	126791
149	3229	125960
150	3252	126002
151	3278	126130
152	3305	126334
153	3332	126495
154	3347	126215
155	3374	126419
156	3378	125736
157	3401	125784
158	3404	125066
159	3413	124579
160	3439	124726
161	3464	124867
162	3469	124242
163	3475	123675
164	3481	123123
165	3505	123199
166	3513	122722
167	3545	123070
168	3571	123236
169	3577	122696
170	3591	122437
171	3615	122498
172	3619	121913
173	3623	121331
174	3631	120874
175	3661	121158
176	3663	120532
177	3690	120695
178	3691	120043
179	3717	120191
180	3719	119579
181	3741	119602
182	3748	119155
183	3761	118885
184	3764	118316
185	3793	118575
186	3795	117993
187	3824	118220
188	3852	118436
189	3864	118166
190	3891	118367
191	3914	118413
192	3938	118495
193	3940	117938
194	3941	117344
195	3966	117467
196	3996	117726
197	4003	117325
198	4040	117779
199	4084	118463
200	4095	118153
201	4146	119017
202	4181	119411
203	4214	119732
204	4219	119264
205	4224	118813
206	4238	118628
207	4243	118178
208	4275	118459
209	4295	118432
210	4329	118787
211	4364	119152
212	4366	118642
213	4393	118780
214	4428	119162
215	4432	118704
